,Player,Year,Position,Age,Height,Weight,Y1 GP,Y2 GP,Y3 GP,Y4 GP,Y5 GP,Y5 dGP
Ryan Suter 2010,Ryan Suter,2010,D,24.693,73,205,,,76.0,82,82,3.0
Ryan Suter 2011,Ryan Suter,2011,D,25.693,73,205,,76.0,82.0,82,70,-10.0
Ryan Suter 2012,Ryan Suter,2012,D,26.692,73,205,76.0,82.0,82.0,70,79,1.5
Ryan Suter 2016,Ryan Suter,2016,D,30.692,73,205,79.0,48.0,82.0,77,82,10.5
Ryan Suter 2017,Ryan Suter,2017,D,31.694,73,205,48.0,82.0,77.0,82,82,9.75
Ryan Suter 2018,Ryan Suter,2018,D,32.694,73,205,82.0,77.0,82.0,82,78,-2.75
Ryan Suter 2019,Ryan Suter,2019,D,33.693,73,205,77.0,82.0,82.0,78,82,2.25
Ryan Suter 2020,Ryan Suter,2020,D,34.692,73,205,82.0,82.0,78.0,82,81,0.0
Ryan Suter 2021,Ryan Suter,2021,D,35.694,73,205,82.0,78.0,82.0,81,82,1.25
Ryan Suter 2022,Ryan Suter,2022,D,36.694,73,205,78.0,82.0,81.0,82,82,1.25
Ryan Suter 2023,Ryan Suter,2023,D,37.693,73,205,82.0,81.0,82.0,82,82,0.25
Brent Burns 2016,Brent Burns,2016,D,30.563,77,230,81.0,30.0,69.0,82,82,16.5
Brent Burns 2017,Brent Burns,2017,D,31.566,77,230,30.0,69.0,82.0,82,82,16.25
Brent Burns 2018,Brent Burns,2018,D,32.565,77,230,69.0,82.0,82.0,82,82,3.25
Brent Burns 2019,Brent Burns,2019,D,33.564,77,230,82.0,82.0,82.0,82,82,0.0
Brent Burns 2020,Brent Burns,2020,D,34.564,77,230,82.0,82.0,82.0,82,82,0.0
Brent Burns 2021,Brent Burns,2021,D,35.566,77,230,82.0,82.0,82.0,82,82,0.0
Brent Burns 2022,Brent Burns,2022,D,36.565,77,230,82.0,82.0,82.0,82,82,0.0
Brent Burns 2023,Brent Burns,2023,D,37.564,77,230,82.0,82.0,82.0,82,82,0.0
Mark Giordano 2012,Mark Giordano,2012,D,27.995,72,205,,58.0,82.0,82,61,-13.0
